job_id,company_name,title,normalized_title,category,description,requirement_summary,work_type,employment_type,experience_level,province,city,salary_min,salary_max,salary_currency,salary_display,skills_top_10_names,requirements_concat,language_signal,source_posted_at,status,fit_input_quality_score,fit_input_has_requirements,fit_input_has_skills,skills_count_total,description_length_chars,req_len,_is_tech_cat,_is_tech_title,_is_tech_skills,is_tech,tech_signal_source
fdc31a8b-a23e-43f8-9e8f-ae0666901c5b,Intikom Berlian Mustika,Account Manager - Surabaya,Account Manager,Sales & Marketing,"IT Account Manager responsible for driving sales growth, managing client relationship, and delivering tailored IT solutions to achieve business target.",IT Account Manager responsible for driving sales growth.,ONSITE,CONTRACT,LEAD,Jawa Timur,Tambaksari,,,IDR,Not specified,Negotiation,IT Account Manager responsible for driving sales growth || managing client relationship || and delivering tailored IT solutions to achieve business target,EN,2026-05-12T08:23:22Z,ACTIVE,100,1,1,1,158,63,False,False,False,False,none
fdb80a47-a596-45eb-b79a-57972985a2f9,Faito,MOTORCYCLE ENGINE RESEARCH & DEVELOPMENT (R&D) MANAGER,Motorcycle Engine Research & Development Manager,Skills & Services,"The MOTORCYCLE ENGINE RESEARCH & DEVELOPMENT (R&D) MANAGER role at Faito in Jakarta Timur, Jakarta Raya, Indonesia focuses on core contributions based on available operational evidence. Ideal candidates are expected to meet: MOTORCYCLE ENGINE RESEARCH & DEVELOPMENT (R&D) MANAGER.",MOTORCYCLE ENGINE RESEARCH & DEVELOPMENT (R&D) MANAGER.,ONSITE,FULL_TIME,LEAD,Jakarta Raya,Jakarta Timur,15000000.0,20000000.0,IDR,"IDR 15,000,000 - 20,000,000 / month",Effective Communication,MOTORCYCLE ENGINE RESEARCH & DEVELOPMENT (R&D) MANAGER,UNKNOWN,2026-05-04T11:50:15Z,ACTIVE,100,1,1,1,303,70,False,False,False,False,none
fdb27bf3-4cf1-4fbb-8451-c4a2467a22fb,Indocyber Global Technology,Data Operator,Data Operator,Administrasi & Dukungan Perkantoran,"Proven experience as a Data Operator, Data Entry Clerk, or in a similar role. Excellent typing skills with high accuracy. Proficient in Microsoft...","Proven experience as a Data Operator, Data Entry Clerk, or in a similar role.",ONSITE,CONTRACT,ENTRY_LEVEL,Jakarta Raya,Jakarta,,,IDR,Not specified,Effective Communication,"Proven experience as a Data Operator, Data Entry Clerk, or in a similar role || Excellent typing skills with high accuracy || Proficient in Microsoft",EN,2026-04-17T08:44:41Z,ACTIVE,100,1,1,1,155,84,False,False,False,False,none
fd96352e-2626-45ca-aa2a-87aef41d1da4,PT. Gyan Abadi Sentosa,SURVEYOR,Surveyor,Construction,Group company has been in the Property and Contractor sector for 15 years. Seeking the best candidate for Surveyor (Total Station/Theodolite/Waterpass).,"Experience with Total Station, Theodolite, or Waterpass.",ONSITE,FULL_TIME,ENTRY_LEVEL,Jakarta Raya,Jakarta,4500000.0,5500000.0,IDR,"IDR 4,500,000 - 5,500,000 / month",Total Station | Theodolite | Waterpass,"Experience with Total Station, Theodolite, or Waterpass",EN,2026-05-10T06:13:34Z,ACTIVE,100,1,1,3,159,63,False,False,False,False,none
fd8a5e4c-faa3-4203-992e-57112be151d3,Mitsui Leasing,Sales Officer,Sales Officer,Sales & Marketing,PT Mitsui Leasing Capital Indonesia is looking for a Sales Officer. The role involves building relationships with existing and potential customers and suppliers.,Build relationships with existing and potential customers Build relationships with suppliers,ONSITE,FULL_TIME,ENTRY_LEVEL,Jakarta Raya,Jakarta,,,IDR,Not specified,Negotiation,Build relationships with existing and potential customers || Build relationships with suppliers,EN,2026-04-30T07:23:40Z,ACTIVE,100,1,1,1,168,118,False,False,False,False,none
fd69bd2c-f568-4ddb-a98f-0557419100ad,Dwi Cermat Indonesia,Fraud Junior Analyst - Risk Platform,Fraud Junior Analyst - Risk Platform,Information Technology & Communications,"Collaborate with internal stakeholders (Risk, Data Science, Engineering, Product Management, Operations, and others) to ensure proper enforcement...",Collaborate with internal stakeholders (Risk and others) to ensure proper enforcement,ONSITE,FULL_TIME,JUNIOR,Jakarta Raya,Jakarta,,,IDR,Not specified,Effective Communication,Collaborate with internal stakeholders (Risk || and others) to ensure proper enforcement,EN,2026-05-15T22:02:58Z,ACTIVE,100,1,1,1,155,111,False,False,False,False,none
fd56eab3-3183-4d33-b632-d9b11327150b,PT Keen Optima Solution,IoT Engineer,IoT Engineer,Embedded Engineer,"IoT Engineer at PT Keen Optima Solution (Sumur Bandung, Bandung, Jawa Barat, Indonesia). This summary is based on glints listing-level data; full details are unavailable.",1-3 years of experience in Embedded Systems Mechanical and Electrical BIM and Internet of Things (IoT),ONSITE,FULL_TIME,JUNIOR,Jawa Barat,Sumur Bandung,4000000.0,6000000.0,IDR,"IDR 4,000,000 - 6,000,000 / month",Mechanical | Embedded Systems | Electrical BIM | Electrical Design | Internet of Things (IoT),1-3 years of experience in Embedded Systems || Mechanical and Electrical BIM || and Internet of Things (IoT),EN,2026-04-26T15:46:20.175000Z,ACTIVE,100,1,1,5,177,136,False,False,False,False,none
fcc53d6e-3855-4b19-8508-b8fba694d2a4,Sinar Jernih Suksesindo,Field Data Validation (DUMAI),Field Data Validation (DUMAI),Sales & Marketing,"We are opening opportunities for candidates who like fieldwork, actively conduct surveys, and have communication and processing skills...",We are opening opportunities for candidates who like fieldwork.,ONSITE,FULL_TIME,ENTRY_LEVEL,Riau,Dumai,,,IDR,Not specified,Effective Communication,We are opening opportunities for candidates who like fieldwork || actively conduct surveys || and have communication and processing skills,EN,2026-05-11T04:22:47Z,ACTIVE,100,1,1,1,144,70,False,False,False,False,none
fc5db190-52d5-43b4-b992-5c4c55acdd9c,WWC Interior,Graphic Designer / Digital Marketing,Graphic Designer / Digital Marketing,Desain & Arsitektur,"Skilled graphic designer/digital marketer needed. Comfortable office, healthy work environment, no drama & non-toxic.","Skilled graphic designer, digital marketing, comfortable office, healthy work environment, no drama, non-toxic.",ONSITE,FULL_TIME,ENTRY_LEVEL,Jakarta Raya,Jakarta Utara,7000000.0,10000000.0,IDR,"IDR 7,000,000 - 10,000,000 / month",Graphic Design | Digital Marketing,"Skilled graphic designer, digital marketing, comfortable office, healthy work environment, no drama, non-toxic",UNKNOWN,2026-05-01T07:04:09Z,ACTIVE,100,1,1,2,128,118,False,False,False,False,none
fbe87e2f-6222-4902-a940-afb7916990f9,LENY Skincare,SALES MANAGER,SALES MANAGER,Sales & Marketing,Leads the team and manages national sales strategy to ensure achievement of monthly turnover targets across all business units of the clinic.,Leads the team and manages national sales strategy to ensure achievement of monthly turnover targets across all business units of the clinic.,ONSITE,FULL_TIME,LEAD,Banten,Tangerang Selatan,10000000.0,14500000.0,IDR,"IDR 10,000,000 - 14,500,000 / month",Negotiation,Leads the team and manages national sales strategy to ensure achievement of monthly turnover targets across all business units of the clinic,EN,2026-05-07T05:58:05Z,ACTIVE,100,1,1,1,148,148,False,False,False,False,none
fbdc7024-49b1-4f99-a761-91e0af838110,Fuji Building Material Tradings,Senior Sales Project Pipa,Senior Sales Project Pipa,Sales & Marketing,"We are seeking an experienced Sales Project to lead our sales efforts, expand our market presence and drive the success of high-value projects",Experienced Sales Project to lead sales efforts Expand market presence Drive success of high-value projects,ONSITE,FULL_TIME,LEAD,Banten,Tangerang,7500000.0,10000000.0,IDR,"IDR 7,500,000 - 10,000,000 / month",Akan segera berakhir | EXPIRES_SOON,Experienced Sales Project to lead sales efforts || Expand market presence || Drive success of high-value projects,EN,2026-04-22T07:26:40Z,ACTIVE,100,1,1,2,149,141,False,False,False,False,none
fbd6c8e9-6a53-4440-a71e-314a5242f467,Pengiklan Anonim,PRODUCT MANAGER - CONSUMER (COSMETIC & BABY PRODUCT),Product Manager - Consumer (Cosmetic & Baby Product),Pemasaran & Komunikasi,"The PRODUCT MANAGER - CONSUMER (COSMETIC & BABY PRODUCT) role at Pengiklan Anonim in Jakarta Timur, Jakarta Raya, Indonesia focuses on core contributions based on available operational evidence. Ideal candidates are expected to meet: Proficient in EXPIRES_SOON, Akan segera berakhir.","Proficient in EXPIRES_SOON, Akan segera berakhir.",ONSITE,FULL_TIME,LEAD,Jakarta Raya,Jakarta Timur,,,IDR,Not specified,Akan segera berakhir | EXPIRES_SOON,Has core competencies relevant to the PRODUCT MANAGER - CONSUMER (COSMETIC & BABY PRODUCT) role.,UNKNOWN,2026-04-24T03:57:01Z,ACTIVE,100,1,1,2,294,56,False,False,False,False,none
fbb29538-320d-4161-b579-98f9445504b4,PT. Mandiri International Technology,IT Business Analyst,IT Business Analyst,Strategy & Project Management,"PT. Mandiri International Technology (MITech) is an Indonesian leading Information and Communication Technology (ICT) Solutions and Services Company, with over 180 employees, established in 2014. We help our valued Clients drive their business growth by delivering innovative digital technology and business transformation. For more visit https://mitech.co.id","Bachelor's Degree in any major (IT-related fields preferred) minimum 3 years of working experience in the banking industry Proven experience as a Business Analyst or Project Management role Strong understanding of banking business processes, especially: Funding, Financing, Collection, Treasury, SKN, RTGS Proficient in: JIRA, Microsoft Visio, Microsoft Excel, Microsoft Project Strong presentation and communication skills",ONSITE,CONTRACT,MID_LEVEL,Indonesia,Jakarta Selatan,,,IDR,Not specified,Effective Communication,"Bachelor's Degree in any major (IT-related fields preferred) || minimum 3 years of working experience in the banking industry || Proven experience as a Business Analyst or Project Management role || Strong understanding of banking business processes, especially: || Funding, Financing, Collection, Treasury, SKN, RTGS Proficient in: || JIRA, Microsoft Visio, Microsoft Excel, Microsoft Project Strong presentation and communication skills || Understanding of data security roles and governance policies",EN,2026-02-27T07:22:41.145000Z,ACTIVE,100,1,1,1,366,481,False,False,False,False,none
fbaedcb9-4e1e-4233-a14b-b21fda316323,PT Lintas Ceria Global,Tiktok KOL Specialist (Affiliate Creators),Tiktok KOL Specialist (Affiliate Creators),Sales & Marketing,"Responsible for managing affiliate creator partnerships, from outreach to content publishing, and driving game content growth on social media.","Manage affiliate creator partnerships, from outreach to content publishing Drive game content growth on social media",ONSITE,FULL_TIME,ENTRY_LEVEL,Jakarta Raya,Jakarta,5000000.0,6000000.0,IDR,"IDR 5,000,000 - 6,000,000 / month",Affiliate Marketing | Partnership Management | Content Creation | Social Media Marketing,"Manage affiliate creator partnerships, from outreach to content publishing || Drive game content growth on social media",EN,2026-04-24T11:30:03Z,ACTIVE,100,1,1,4,149,142,False,False,False,False,none
fba5ee5e-462f-4904-b439-040934c37687,Erajaya,Jr. IT Business Analyst (Talent Pool) - Supervisor,Junior IT Business Analyst,Information Technology & Communication,"Minimum 2 years of experience as a System Analyst, Functional Consultant, or Business Analyst, preferably in a technology-driven environment.","minimum 2 years of experience as a System Analyst, Functional Consultant, or Business Analyst.",ONSITE,FULL_TIME,JUNIOR,Jakarta Raya,Jakarta,,,IDR,Not specified,Effective Communication,"minimum 2 years of experience as a System Analyst, Functional Consultant, or Business Analyst",EN,2026-05-09T15:47:47Z,ACTIVE,100,1,1,1,148,101,False,False,False,False,none
fb57ef1b-fa2c-4bf3-89ea-80793084b2d1,AtoZ Precision Engineering,Quantity Surveyor - Data Center Construction,Quantity Surveyor,Construction,"The Quantity Surveyor - Data Center Construction role at AtoZ Precision Engineering in Jakarta Selatan, Jakarta Raya, Indonesia focuses on core contributions based on available operational evidence. Ideal candidates are expected to meet: Expertise in cost estimation and budget management for MEP in Data Center Buildings.",Expertise in cost estimation and budget management for MEP in Data Center Buildings.,ONSITE,CONTRACT,ENTRY_LEVEL,Jakarta Raya,Jakarta Selatan,,,IDR,Not specified,Budget Management | Data Center Construction | MEP | Cost Estimation,Expertise in cost estimation and budget management for MEP in Data Center Buildings,EN,2026-05-12T02:32:08Z,ACTIVE,100,1,1,4,329,91,False,False,False,False,none
fb1855fe-ded7-469a-a6cc-f98df6bc334c,PT Intitek Presisi Integrasi,Sales Engineer - Jembatan Timbang & Software Jembatan Timbang,Sales Engineer,Sales & Marketing,"Join PT. Intitek Presisi Integrasi, a leading distributor of weighing and inspection systems (Radwag).",Basic salary + commission based on closing Travel allowance for business trips Transparent targets and commission scheme,ONSITE,FULL_TIME,LEAD,Banten,Tangerang,5000000.0,7000000.0,IDR,"IDR 5,000,000 - 7,000,000 / month",Sales | Commission | Targeting,Basic salary + commission based on closing || Travel allowance for business trips || Transparent targets and commission scheme,EN,2026-05-06T06:28:35Z,ACTIVE,100,1,1,3,109,154,False,False,False,False,none
fac4bd53-b19c-4d3f-953b-a344ef36cf15,Panca Amara Utama,Strategy & Planning Analyst (Office of Strategy Management),Strategy & Planning Analyst (Office of Strategy Management),Konsultasi & Strategi,"The Strategy & Planning Analyst (Office of Strategy Management) role at Panca Amara Utama in Jakarta Selatan, Jakarta Raya, Indonesia focuses on core contributions based on available operational evidence. Ideal candidates are expected to meet: Work with KPI, BSC & strategic initiatives experience in Strategy or Project Management Ability to coordinate across multiple departments and external parties","Work with KPI, BSC & strategic initiatives experience in Strategy or Project Management Ability to coordinate across multiple departments and external parties",ONSITE,FULL_TIME,LEAD,Jakarta Raya,Jakarta Selatan,,,IDR,Not specified,Effective Communication,"Work with KPI, BSC & strategic initiatives || experience in Strategy || or Project Management Ability to coordinate across multiple departments and external parties",EN,2026-05-05T03:30:02Z,ACTIVE,100,1,1,1,417,196,False,False,False,False,none
fab0176d-5ccb-4b17-996c-3e3146459931,Foodindo Dwivestamas,IT Opration and Maintenance,IT Operation and Maintenance,Information Technology & Communications,"The IT Opration and Maintenance role at Foodindo Dwivestamas in Cikarang Selatan, Jawa Barat, Indonesia focuses on core contributions based on available operational evidence. Ideal candidates are expected to meet: Ensuring IT services can support users in working more easily and quickly for the smooth running of a successful company business.",Ensuring IT services can support users in working more easily and quickly for the smooth running of a successful company business.,ONSITE,CONTRACT,ENTRY_LEVEL,Jawa Barat,Cikarang Selatan,,,IDR,Not specified,Effective Communication,Ensuring IT services can support users in working more easily and quickly for the smooth running of a successful company business,EN,2026-05-15T01:16:09Z,ACTIVE,100,1,1,1,351,137,False,False,False,False,none
fa91a821-8159-47c6-8ba4-d8b378f8589e,Pengiklan Anonim,IT Business Process Analyst,Business Process Analyst,Information Technology & Communications,"The IT Business Process Analyst role at Pengiklan Anonim in Jakarta Utara, Jakarta Raya, Indonesia focuses on core contributions based on available operational evidence. Ideal candidates are expected to meet: Join as a Business Process Analyst to Drive Strategic Alignment.",Join as a Business Process Analyst to Drive Strategic Alignment.,ONSITE,CONTRACT,ENTRY_LEVEL,Jakarta Raya,Jakarta Utara,,,IDR,Not specified,Effective Communication,Join as a Business Process Analyst to Drive Strategic Alignment || and Accelerate Sustainable Organizational Growth,UNKNOWN,2026-04-28T07:35:40Z,ACTIVE,100,1,1,1,280,71,False,False,False,False,none
f9dea431-f54e-48c3-9403-17f815826c53,Danareksa.,Project Development at PT Kawasan Industri Terpadu Batang member of PT Danareksa Persero,Project Development,Engineering,"Digital Infrastructure Development Planning: Collect digital infrastructure needs from tenants and related units within the area. Prepare initial technical requirements for the development of internet networks, fiber optics, WiFi zones, and IoT. Align digital infrastructure development plans with tenant operational needs and area development plans. Digital Infrastructure Project Execution: Prepare the needs for digital infrastructure project execution according to the scope of work. Coordinate project execution with vendors, contractors, and relevant internal parties. Monitor project progress to ensure it runs according to target time, quality, and operational needs. Project Quality and Progress Monitoring: Monitor the progress of digital project work in the field. Examine the conformity of work results with technical requirements and project scope. Identify project obstacles and convey follow-up needs to superiors or relevant parties. Smart Industrial Estate Implementation Support: Support the implementation of digital infrastructure needed for a smart industrial estate. Coordinate connectivity needs and readiness of supporting digital project infrastructure. Provide technical input regarding the integration of digital infrastructure in area development. Project Partner and Vendor Coordination: Coordinate with vendors, providers, and contractors in the execution of digital projects. Ensure technical needs and project execution documents are available. Support initial evaluation of work execution by project partners. Project Activity Reporting: Compile progress reports for digital infrastructure project implementation. Document work results, obstacles, and project follow-ups. Submit project reports to superiors as a basis for monitoring and evaluation. Risk Management and Mitigation: Conduct identification, management, reporting, control, and evaluation of risk mitigation periodically, considering targets and risk policies according to business process flows and their factors, as well as considering risk aspects in every decision and participating in the risk culture development program.","Bachelor's (S1) in Informatics Engineering or a relevant field ICT Project Management: Understanding of planning, execution, and control of digital infrastructure projects and ICT services Digital Infrastructure Planning: Knowledge of design and development of fiber optic networks, data centers, and supporting digital systems",ONSITE,FULL_TIME,MID_LEVEL,Central Java (Jawa Tengah),Batang,,,IDR,Not specified,Effective Communication,"Bachelor's (S1) in Informatics Engineering || or a relevant field || ICT Project Management: || Understanding of planning, execution, and control of digital infrastructure projects and ICT services || Digital Infrastructure Planning: || Knowledge of design and development of fiber optic networks, data centers, and supporting digital systems || Project Feasibility Analysis: || Ability to conduct feasibility studies and technical and financial analysis of ICT projects || Smart System Development: || Understanding of implementing smart buildings, smart factories, and smart industrial estates || Vendor and Stakeholder Coordination: || Ability to manage vendors, contractors, and cross-unit coordination in project execution || Time, Cost, and Quality Control: || Understanding of ensuring projects run according to schedule, budget, and quality standards || Project Risk Management: || Knowledge of identification and mitigation of ICT project risks",EN,2026-05-07T07:19:46.003000Z,ACTIVE,100,1,1,1,2131,385,False,False,False,False,none
f9c6da73-cbfb-4615-b40e-ff4456f5fe4f,Trust Recruit,Brand Manager - Cosmetics/Beauty,Brand Manager - Cosmetics/Beauty,Marketing & Communications,The Brand Manager - Cosmetics/Beauty role at Trust Recruit in Jakarta Raya focuses on core contributions based on available operational evidence. Ideal candidates are expected to meet: Brand Manager for a luxury beauty or cosmetics company.,Brand Manager for a luxury beauty or cosmetics company.,ONSITE,FULL_TIME,LEAD,Jakarta Raya,Jakarta,20000000.0,25000000.0,IDR,"IDR 20,000,000 - 25,000,000 / month",Digital Marketing,Brand Manager for a luxury beauty or cosmetics company,UNKNOWN,2026-05-18T03:32:25Z,ACTIVE,100,1,1,1,247,62,False,False,False,False,none
f938c54f-b33b-41f2-8781-8429756b42ee,Wahana Inspirasi Bintang,Product Development,Product Development,Marketing & Communications,"Bring your creative ideas to life as a product! Seeking a Product Development Staff (S1 DKV/Art, min 2 years exp). Let's grow & innovate together with us.",minimum 2 years of experience in Product Development.,ONSITE,CONTRACT,JUNIOR,Jakarta Raya,Kebon Jeruk,6000000.0,7000000.0,IDR,"IDR 6,000,000 - 7,000,000 / month",Art | DKV | Product Development,minimum 2 years of experience in Product Development,EN,2026-05-16T01:59:40Z,ACTIVE,100,1,1,3,165,60,False,False,False,False,none
f906f311-9863-455f-a91d-7036c89803ab,Infineon Technologies,Senior Staff Engineer Test Technology and Solutions,Senior Staff Engineer Test Technology and Solutions,Engineering,"As Senior Staff Engineer Test Technology and Solutions you are responsible mainly for Test Contactor and Loadboard Development at Final Test,...","As Senior Staff Engineer Test Technology and Solutions you are responsible mainly for Test Contactor and Loadboard Development at Final Test,.",ONSITE,FULL_TIME,SENIOR,Kepulauan Riau,Batam,,,IDR,Not specified,Programming,"As Senior Staff Engineer Test Technology and Solutions you are responsible mainly for Test Contactor and Loadboard Development at Final Test,",EN,2026-04-02T09:09:24Z,ACTIVE,100,1,1,1,151,149,False,False,False,False,none
f8f5ca25-9040-4f4b-b725-34c490d29a86,PT Jomon Persada Nusantara,Government Sales Engineer,Government Sales Engineer,Sales & Marketing,"The Government Sales Engineer role at PT Jomon Persada Nusantara in Jakarta Utara, Jakarta Raya focuses on core contributions based on available operational evidence. Ideal candidates are expected to meet: A fast-growing company Excellent opportunities for career growth and development Attractive incentive scheme",A fast-growing company Excellent opportunities for career growth and development Attractive incentive scheme,ONSITE,CONTRACT,ENTRY_LEVEL,Jakarta Raya,Jakarta Utara,5800000.0,7000000.0,IDR,"IDR 5,800,000 - 7,000,000 / month",Programming,A fast-growing company || Excellent opportunities for career growth and development || Attractive incentive scheme,EN,2026-05-15T10:21:07Z,ACTIVE,100,1,1,1,321,142,False,False,False,False,none
f8e0108a-74a0-4bdd-8a05-fe2b61efa977,Avia Technics Dirgantara,Quality Licensing Staff,Quality Licensing Staff,"Manufaktur, Transportasi & Logistik","Avia Technics Dirgantara is seeking a Quality Licensing Staff in Badung, Bali. You will be responsible for maintaining aviation licenses and authorizations, ensuring compliance with DGCA and Quality & Safety standards.","experience in maintaining aviation licenses and authorizations Knowledge of DGCA, Quality & Safety standards",ONSITE,FULL_TIME,ENTRY_LEVEL,Bali,Badung,,,IDR,Not specified,Safety Standards | Aviation Licensing | Compliance | Quality Assurance,"experience in maintaining aviation licenses and authorizations || Knowledge of DGCA, Quality & Safety standards",EN,2026-04-30T01:13:07Z,ACTIVE,100,1,1,4,229,138,False,False,False,False,none
